,"분할1 (가슴, 삼두)",,,,"분할2 (등, 이두)",,,,,"분할3 (하체, 복근)",,,
날짜,스탠다드 푸쉬업,무릎 푸쉬업,덤벨 벤치프레스,벤치 딥스,스탠다드 풀업,패러렐 풀업,인버티드 풀업(로우),원암 덤벨 로우,컨센트레이션 컬,카프레이즈,스쿼트,행잉 레그레이즈,레그레이즈
2021-02-05,,,,,,,10 10 10 10 10,,,,,,
2021-02-06,15 12 10 10 10,,,,2 2,2 2,5 5,,,12 12 12 12 12,,,
2021-02-07,,,,,,,,,,,,,
2021-02-08,,,,,,,,,,,,,
2021-02-09,10 10 10 10 10,,,,2 2,,,,10 10 10 10 10,,,,
2021-02-10,,,,,,,,,,,,10 10 10 10 10 10 10 ,7 7 7 7 14 16
2021-02-11,,,,,,,,,,,,,
2021-02-12,,,,,,,,,,,,,
2021-02-13,,,,,,,,,,,,,
2021-02-14,,,,10 10 10 10 13 15,3 3,,,11 11 11 11 11 11,,,,,
2021-02-15,10 10 10 10 10,10 10 10,10 10 10 10 10,15 15 15 18 13 15,,,,,,,,,
2021-02-16,,,,,3 3,3 3,10 10 10 10 8 6,10 10 10 10 20,12 12 12 10 8,,,,
2021-02-17,,,,,,,,,,15 15 15 15 15 15,40 23 20 20 20 20,11 11 11 11 11 11,11 10 11 11 11 13
2021-02-18,10 11 11 11 9 8,11 11 11,11 11 11 11 11 18,15 15 15 15 15 14,,,,,,,,,
2021-02-19,,,,,3 3 1,3 3 1,10 10 10 10 8 10,15 15 15 15 15,12 12 12 11 10,,,,
2021-02-20,,,,,,,,,,,,,
2021-02-21,,,,,,,,,,16 16 16 16 16 16,,12 12 12 12 12 12,12 12 12 12 12 12
2021-02-22,11 11 11 11 11 11,11 11 11 15,12 12 12 12 12 14,16 15 15 16 15 15 ,,,,,,,,,
2021-02-23,,,,,3 3 2,3 3 2,11 11 11 11 10 10,16 16 16 15 15,12 12 12 12 12,,,,
2021-02-24,,,,,,,,,,17 17 17 17 17 17,30 25 25 25 25 25,13 13 13 12 12 12,12 12 12 12 12 12
2021-02-25,,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,,
2021-02-27,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,
2021-03-02,,,,,,,,,,,,,
2021-03-03,,,,,,,,,,,,,
2021-03-04,,,,,,,,,,,,,
2021-03-05,,,,,,,,,,,,,
2021-03-06,,,,,,,,,,,,,
2021-03-07,,,,,,,,,,,,,
2021-03-08,,,,,,,,,,,,,
2021-03-09,,,,,,,,,,,,,
2021-03-10,,,,,,,,,,,,,
2021-03-11,,,,,,,,,,,,,
2021-03-12,,,,,,,,,,,,,
2021-03-13,,,,,,,,,,,,,
2021-03-14,,,,,,,,,,,,,
2021-03-15,,,,,,,,,,,,,
2021-03-16,,,,,,,,,,,,,
2021-03-17,,,,,,,,,,,,,
2021-03-18,,,,,,,,,,,,,
2021-03-19,,,,,,,,,,,,,
2021-03-20,,,,,,,,,,,,,
2021-03-21,,,,,,,,,,,,,
2021-03-22,,,,,,,,,,,,,
2021-03-23,,,,,,,,,,,,,
2021-03-24,,,,,,,,,,,,,
2021-03-25,,,,,,,,,,,,,
2021-03-26,,,,,,,,,,,,,
2021-03-27,,,,,,,,,,,,,
2021-03-28,,,,,,,,,,,,,
2021-03-29,,,,,,,,,,,,,
2021-03-30,,,,,,,,,,,,,
2021-03-31,,,,,,,,,,,,,
2021-04-01,,,,,,,,,,,,,
2021-04-02,,,,,,,,,,,,,
2021-04-03,,,,,,,,,,,,,
2021-04-04,,,,,,,,,,,,,
2021-04-05,,,,,,,,,,,,,
2021-04-06,,,,,,,,,,,,,
2021-04-07,,,,,,,,,,,,,
2021-04-08,12 12 12 12 8 8,11 10 10 8,12 12 12 12 14 15,15 15 15 15 15 15,,,,,,,,,
2021-04-09,,,,,,,,,,,,,
2021-04-10,,,,,,,,,,,,,
2021-04-11,,,,,,,,,,,,,
2021-04-12,,,,,,,,,,,,,
2021-04-13,,,,,6 6 6 4,4 3 3 3,11 11 10 10 10 10,16 16 16 16 16,15 12 12 12 12,,,,
2021-04-14,,,,,,,,,,18 18 18 18 18 18,25 25 20 20 20 20,13 13 13 10 10 10,12 12 12 12 12 12
2021-04-15,,,,,,,,,,,,,
2021-04-16,12 12 12 12 9 9,10 10 10 10,13 13 13 13 14 14,16 15 15 15 15 15,,,,,,,,,
2021-04-17,,,,,,,,,,,,,
2021-04-18,,,,,,,,,,,,,
